censor	v.	/ˈsensər/	审查，检查	The government can censor the news.	2	0	801
liability	n.	/ˌlaɪəˈbɪləti/	责任；债务；负债，债务	The company has a large liability.	3	3616	802
cancel	v./vt.	/ˈkænsəl/	取消；取消，撤销，删去	Please cancel my appointment.	3	2317	803
shift	v.	/ʃɪft/	转变	I work the night shift.	3	1123	804
rigorous	adj.	/ˈrɪɡərəs/	严格的；严密的，缜密的；严格的，严厉的	The training was very rigorous.	3	2511	805
endeavor	n./v.	/ɪnˈdevər/	努力，尽力；努力，尝试；努力，尽力，尝试	We must endeavor to do our best.	2	0	806
formerly	adv.	/ˈfɔːrmərli/	以前，从前	This building was formerly a school.	2	0	807
desolate	adj.	/ˈdɛsələt/	荒芜的；孤独的	The island was desolate and empty.	2	0	808
imply	vt.	/ɪmˈplaɪ/	暗示，意指	Are you trying to imply something?	3	9	809
paralyse	v.	/ˈpærəlaɪz/	使麻痹，使瘫痪	The accident paralysed him.	2	0	810
approach	n./vt.	/əˈproʊtʃ/	方法；向…靠近；靠近	The approach to the airport was bumpy.	3	3665	811
malice	n.	/ˈmælɪs/	恶意；蓄意犯罪	He acted with malice.	2	0	812
burial	n.	/ˈberiəl/	埋葬；安葬，埋葬；埋藏	The burial took place yesterday.	2	0	813
plunder	n./v.	/ˈplʌndər/	掠夺，劫掠；掠夺，抢劫	The pirates plundered the ship.	2	0	814
console	n./v./vt.	/kənˈsoʊl/	安慰；悬臂，肘托；控制台	I tried to console her after the bad news.	2	0	815
paper	v.	/ˈpeɪpər/	贴壁纸	I need a piece of paper.	3	616	816
relative	n./adj.	/ˈrelətɪv/	有关系的，相对的；亲属，亲戚	He is a relative of mine.	3	2386	817
external	adj.	/ɪkˈstɜːrnl/	外部的，外面的	This is an external hard drive.	3	2943	818
requisite	n./adj.	/ˈrekwɪzɪt/	需要的，必要的；必需品	A good education is a requisite for success.	2	0	819
culminate	vi.	/ˈkʌlmɪneɪt/	告终	The project will culminate in a final presentation.	2	0	820
gather	v.	/ˈɡæðər/	推测，推断	We will gather at the park.	3	3257	821
inlet	n.	/ˈɪnlɛt/	水湾；进口；小湾，水湾	The small boat sailed into the inlet.	2	0	822
defect	n./vi.	/ˈdiːfekt/	缺点；变节，叛变；缺点，缺陷，欠缺[dI'fe…	The product has a defect.	3	1872	823
bestow	v.	/bɪˈstoʊ/	把…赠与	The university will bestow an honorary degree.	2	0	824
inhibit	vt.	/ɪnˈhɪbɪt/	阻止，妨碍，抑制	Fear can inhibit creativity.	2	0	825
dismantle	vt.	/dɪsˈmæntəl/	拆开，拆卸	We need to dismantle the old machine.	2	0	826
splash	n./v.	/splæʃ/	溅泼；泼水；溅泼声	The car made a splash as it drove through the puddle	2	0	827
Moslem	n./adj.	/ˈmɒzləm/	穆斯林；穆斯林的	He is a Moslem.	2	0	828
Jupiter	n.	/ˈdʒuːpɪtər/	木星；丘庇特	Jupiter is the largest planet.	2	0	829
squat	v.	/skwɒt/	（使）蹲下	He did a squat.	2	0	830
quantity	n.	/ˈkwɒntəti/	数量	We need a large quantity of paper.	3	1536	831
relay	n./v./vt.	/ˈriːleɪ/	接替，转播；分程传递；使接替	They will relay the message to him.	2	0	832
bridge	v.	/brɪdʒ/	缩小；架桥于…之上；架桥于，用桥连接	The bridge connects the two cities.	3	1896	833
trademark	n.	/ˈtreɪdmɑːrk/	商标，牌号；特征，标记	The company owns the trademark.	2	0	834
relief	n.	/rɪˈliːf/	轻松，宽慰；缓解，减轻，解除；使得到调剂	I felt relief after the exam.	3	3518	835
trade	v.	/treɪd/	做买卖；交换	They trade goods with each other.	3	379	836
fright	n.	/fraɪt/	惊吓，恐怖	She gave me a fright.	2	0	837
tease	v./vt.	/tiːz/	逗乐，戏弄；戏弄，取笑；挑逗，撩拨	Don't tease your little brother.	2	0	838
goddess	n.	/ˈɡɑːdəs/	女神	Aphrodite is the Greek goddess of love.	2	0	839
troop	n.	/truːp/	一群，一队，大量	The troop marched forward.	3	603	840
glamor	n.	/ˈɡlæmər/	魅力，诱惑力	Hollywood is full of glamor.	2	0	841
abandon	vt.	/əˈbændən/	离弃，丢弃；遗弃；抛弃	They had to abandon the car.	3	2612	842
refrain	n./v./vi.	/rɪˈfreɪn/	抑制，避免；抑制，制止，忍住；抑制，克制，戒除	Please refrain from smoking.	2	0	843
wreck	n./vt.	/rek/	失事，残骸；精神或身体已垮的人；破坏	The car was a total wreck.	3	556	844
carpentry	n.	/ˈkɑːrpəntri/	木工业	He enjoys carpentry as a hobby.	2	0	845
molecular	adj.	/məˈlɛkjələr/	分子的；克分子的	We studied the molecular structure.	2	0	846
drought	n.	/draʊt/	干旱；干旱，旱灾	The drought caused a famine.	3	3337	847
appeal	n./vt./vi.	/əˈpiːl/	请求，呼吁,上诉；求助，诉请；要求	We will appeal the court's decision.	3	2453	848
versatile	adj.	/ˈvɜːrsətaɪl/	多方面的；通用的；多才多艺的，有多种技能的	She is a versatile actress.	2	0	849
pledge	n./v./vt.	/pledʒ/	誓言；使发誓；保证，誓言	I pledge to support the cause.	3	2095	850
evenly	adv.	/ˈiːvənli/	一致地；平静地	Cut the cake evenly.	2	0	851
thorn	n.	/θɔːrn/	刺，荆棘；带刺小灌木	The rose has a thorn.	2	0	852
boost	n./v.	/buːst/	提高；推动，促进，激励；替…做广告，宣扬	This will boost your confidence.	3	1186	853
planet	n.	/ˈplænɪt/	行星	Earth is our planet.	3	3110	854
lobbyist	n.	/ˈlɑː.bi.ɪst/	游说者	The lobbyist tried to influence the vote.	2	0	855
disarm	v.	/dɪsˈɑːrm/	解除，消除	The police disarm the suspect.	2	0	856
voluntary	adj.	/ˈvɑːlənteri/	自愿的，志愿的	Her work at the shelter is voluntary.	3	2124	857
uneven	adj.	/ʌnˈiːvən/	不均衡的；不平坦的，不平滑的；不一致的，不相等的	The road is uneven.	2	0	858
utility	n.	/juːˈtɪləti/	效用，有用	This tool has great utility.	3	3213	859
whirl	n./vi.	/wɜːrl/	旋转，急转；发晕，变混乱；旋转，回旋	The leaves whirl in the wind.	2	0	860
erect	v./vt./adj.	/ɪˈrekt/	建立；直立的；竖直的，挺直的	They will erect a new building.	3	1065	861
bribe	n./v./vt.	/braɪb/	贿赂；向…行贿；向…贿赂，买通	He tried to bribe the official.	2	0	862
nickname	n./vt.	/ˈnɪkneɪm/	绰号，诨号；绰号，诨名；给…起绰号	His nickname is Tom.	2	0	863
occupy	vt.	/ˈɒkjupaɪ/	占领；占；占有	The army will occupy the city.	3	2702	864
resort	n./vi.	/rɪˈzɔːrt/	度假胜地；求助，凭借，诉诸；求助的对象，采用的…	We stayed at a beach resort.	3	3021	865
shameful	adj.	/ˈʃeɪmfəl/	可耻的；不道德的	His behavior was shameful.	2	0	866
solid	adj.	/ˈsɑːlɪd/	坚实的，稳固的	Ice is water in its solid form.	3	536	867
testimony	n.	/ˈtestɪmoʊni/	证词；见证，证明	His testimony was very helpful.	2	0	868
propose	v.	/prəˈpoʊz/	提出	I propose a new plan.	3	2585	869
intake	n.	/ˈɪnteɪk/	吸入；输入能量	Reduce your salt intake.	3	3427	870
induce	v./vt.	/ɪnˈdjuːs/	劝诱；引起；引导，劝	The doctor will induce labor.	3	1971	871
radiant	adj.	/ˈreɪdiənt/	容光焕发的；灿烂的；容光焕发的，喜形于色的	She looked radiant on her wedding day.	2	0	872
oxygen	n.	/ˈɒksɪdʒən/	氧，氧气	We need oxygen to breathe.	3	2828	873
disrupt	vt.	/dɪsˈrʌpt/	使中断；扰乱	Don't disrupt the class.	2	0	874
mitten	n.	/ˈmɪtn/	连指手套	She wore mittens in the winter.	2	0	875
clatter	n.	/ˈklætər/	得得声，卡嗒声	I heard a clatter in the kitchen.	2	0	876
infer	v.	/ɪnˈfɜːr/	推断	What can you infer from this data?	3	1525	877
fascinate	v./vt.	/ˈfæsɪneɪt/	使着迷；迷住，迷人；强烈地吸引，迷住	Snakes fascinate me.	3	3681	878
captive	n./adj.	/ˈkæptɪv/	被俘虏的；被俘虏的，被捕获的；俘虏	The soldiers took the villagers captive.	3	2471	879
dioxide	n.	/daɪˈɒksaɪd/	二氧化物	Carbon dioxide is a greenhouse gas.	2	0	880
install	vt.	/ɪnˈstɔːl/	安装，设置；使就职，任命	I need to install the new software.	3	3371	881
debris	n.	/dəˈbriː/	残骸，碎片	The storm left a lot of debris.	2	0	882
barge	n.	/bɑːrdʒ/	驳船；大型游船	The barge carried goods down the river.	2	0	883
bruise	n./v./vt.	/bruːz/	使碰伤，擦伤；青肿，挫伤；伤痕，擦痕	I got a bruise on my leg.	3	3648	884
crawl	n./v.	/krɔːl/	爬行，蠕动；缓慢行进	The baby can crawl now.	3	602	885
principle	n.	/ˈprɪnsəpəl/	原则；原则，原理，道义；基本信念，信条	He has strong principles.	3	1545	886
pastry	n.	/ˈpeɪstri/	油酥面团，酥皮糕点	I love eating pastry.	2	0	887
shovel	n./v.	/ˈʃʌvəl/	铲，铁铲；铲	I need a shovel to move the snow.	2	0	888
cruelty	n.	/ˈkruːəlti/	残酷；残酷行为	Animal cruelty is wrong.	3	2851	889
embassy	n.	/ˈembəsi/	大使馆；大使的职务	The embassy is in Washington D.C.	3	1649	890
stereo	n./adj.	/ˈsterioʊ/	立体声；立体声的；立体的	I have a stereo system.	2	0	891
severity	n.	/sɪˈverəti/	严重性	The severity of the storm surprised us.	2	0	892
pedal	n./vt./vi.	/ˈpedəl/	（自行车的）踏脚，踏板，脚蹬；（汽车或机器的）…	Push the pedal to start the car.	2	0	893
ascend	v./vt./vi.	/əˈsend/	上升；攀登，登高；渐渐上升，升高	The climber began to ascend the mountain.	2	0	894
follow	v.	/ˈfɒloʊ/	从事（职业），经营	Please follow me.	3	1800	895
tyrant	n.	/ˈtaɪrənt/	暴君；专制君主	The tyrant ruled with an iron fist.	2	0	896
attract	vt.	/əˈtrækt/	吸引，引起…注意	Bright colors attract attention.	3	3285	897
surgery	n.	/ˈsɜːrdʒəri/	外科，外科手术；手术室	He needs surgery on his knee.	3	3357	898
insurance	n.	/ɪnˈʃʊrəns/	保险；保险费	Do you have car insurance?	3	1602	899
